tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,43,100
0,note_on,0,0,2,,,,,,,,,1,,46,100
0,note_on,0,0,2,,,,,,,,,1,,50,100
0,note_on,0,0,2,,,,,,,,,1,,55,100
0,program_change,0,0,2,,,,,,,,,1,6,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,70,100
0,note_on,0,0,1,,,,,,,,,0,,79,100
0,program_change,0,0,1,,,,,,,,,0,6,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
144,note_on,144,0,1,,,,,,,,,0,,79,0
144,note_on,0,0,1,,,,,,,,,0,,74,100
192,note_on,192,0,2,,,,,,,,,1,,43,0
192,note_on,48,0,1,,,,,,,,,0,,74,0
192,note_on,0,0,2,,,,,,,,,1,,55,0
192,note_on,0,0,2,,,,,,,,,1,,50,0
192,note_on,0,0,2,,,,,,,,,1,,46,0
192,note_on,0,0,1,,,,,,,,,0,,70,0
192,note_on,0,0,1,,,,,,,,,0,,72,100
204,note_on,0,0,1,,,,,,,,,0,,70,100
204,note_on,12,0,1,,,,,,,,,0,,72,0
216,note_on,12,0,1,,,,,,,,,0,,70,0
216,note_on,0,0,1,,,,,,,,,0,,72,100
228,note_on,12,0,1,,,,,,,,,0,,72,0
228,note_on,0,0,1,,,,,,,,,0,,70,100
240,note_on,12,0,1,,,,,,,,,0,,70,0
