tick,type,tempo,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,0,10,24,,
0,key_signature,,0,1,6,G,,,,,,,,,,,
0,time_signature,,0,1,6,,2,2,24,8,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,
0,program_change,,0,0,7,,,,,,,48,1,,,,
0,control_change,,0,0,7,,,,,,,,1,7,127,,
0,control_change,,0,0,7,,,,,,,,1,10,104,,
0,key_signature,,0,1,7,G,,,,,,,,,,,
0,time_signature,,0,1,7,,2,2,24,8,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,
0,program_change,,0,0,8,,,,,,,41,2,,,,
0,control_change,,0,0,8,,,,,,,,2,7,127,,
0,control_change,,0,0,8,,,,,,,,2,10,104,,
0,key_signature,,0,1,8,G,,,,,,,,,,,
0,time_signature,,0,1,8,,2,2,24,8,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,
0,program_change,,0,0,9,,,,,,,42,3,,,,
0,control_change,,0,0,9,,,,,,,,3,7,127,,
0,control_change,,0,0,9,,,,,,,,3,10,24,,
0,key_signature,,0,1,9,G,,,,,,,,,,,
0,time_signature,,0,1,9,,2,2,24,8,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,
0,track_name,,0,1,20,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,
0,control_change,,0,0,6,,,,,,,,0,7,127,,
0,program_change,,0,0,10,,,,,,,43,4,,,,
0,program_change,,0,0,6,,,,,,,48,0,,,,
0,track_name,,0,1,5,,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,,,11,7,127,,
0,control_change,,0,0,2,,,,,,,,11,10,64,,
0,key_signature,,0,1,2,G,,,,,,,,,,,
0,time_signature,,0,1,2,,2,2,24,8,,,,,,,
0,note_on,,0,0,2,,,,,,,,11,,,71,108
0,track_name,,0,1,2,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,program_change,,0,0,3,,,,,,,52,12,,,,
0,control_change,,0,0,3,,,,,,,,12,7,127,,
0,control_change,,0,0,3,,,,,,,,12,10,104,,
0,key_signature,,0,1,3,G,,,,,,,,,,,
0,time_signature,,0,1,3,,2,2,24,8,,,,,,,
0,note_on,,0,0,3,,,,,,,,12,,,67,108
0,track_name,,0,1,3,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,
0,program_change,,0,0,4,,,,,,,52,13,,,,
0,control_change,,0,0,4,,,,,,,,13,7,127,,
0,control_change,,0,0,4,,,,,,,,13,10,24,,
0,key_signature,,0,1,4,G,,,,,,,,,,,
0,time_signature,,0,1,4,,2,2,24,8,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,
0,program_change,,0,0,5,,,,,,,52,14,,,,
0,control_change,,0,0,5,,,,,,,,14,7,127,,
0,control_change,,0,0,5,,,,,,,,14,10,104,,
0,key_signature,,0,1,5,G,,,,,,,,,,,
0,time_signature,,0,1,5,,2,2,24,8,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,
0,control_change,,0,0,10,,,,,,,,4,7,127,,
0,control_change,,0,0,10,,,,,,,,4,10,64,,
0,key_signature,,0,1,10,G,,,,,,,,,,,
0,control_change,,0,0,15,,,,,,,,9,7,127,,
0,control_change,,0,0,15,,,,,,,,9,10,64,,
0,track_name,,0,1,15,,,,,,,,,,,,
0,end_of_track,,0,1,15,,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,,0,,,,,,
0,control_change,,0,0,16,,,,,,,,9,7,127,,
0,control_change,,0,0,16,,,,,,,,9,10,64,,
0,track_name,,0,1,16,,,,,,,,,,,,
0,end_of_track,,0,1,16,,,,,,,,,,,,
0,midi_port,,0,1,17,,,,,,0,,,,,,
0,control_change,,0,0,17,,,,,,,,9,7,127,,
0,control_change,,0,0,17,,,,,,,,9,10,64,,
0,track_name,,0,1,17,,,,,,,,,,,,
0,end_of_track,,0,1,17,,,,,,,,,,,,
0,midi_port,,0,1,18,,,,,,0,,,,,,
0,control_change,,0,0,18,,,,,,,,9,7,127,,
0,control_change,,0,0,18,,,,,,,,9,10,64,,
0,track_name,,0,1,18,,,,,,,,,,,,
0,end_of_track,,0,1,18,,,,,,,,,,,,
