tick,type,tempo,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,set_tempo,857142,0,1,0,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,5,7,127,,
0,control_change,,0,0,6,,,,,,,,5,10,104,,
0,key_signature,,0,1,6,Bb,,,,,,,,,,,
0,time_signature,,0,1,6,,1,4,24,8,,,,,,,
0,note_on,,0,0,6,,,,,,,,5,,,62,108
0,track_name,,0,1,6,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,
0,program_change,,0,0,7,,,,,,,41,6,,,,
0,control_change,,0,0,7,,,,,,,,6,7,127,,
0,control_change,,0,0,7,,,,,,,,6,10,104,,
0,key_signature,,0,1,7,Bb,,,,,,,,,,,
0,time_signature,,0,1,7,,1,4,24,8,,,,,,,
0,note_on,,0,0,7,,,,,,,,6,,,65,92
0,track_name,,0,1,7,,,,,,,,,,,,
0,track_name,,0,1,18,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,
0,program_change,,0,0,8,,,,,,,42,7,,,,
0,control_change,,0,0,8,,,,,,,,7,7,127,,
0,control_change,,0,0,8,,,,,,,,7,10,24,,
0,key_signature,,0,1,8,Bb,,,,,,,,,,,
0,time_signature,,0,1,8,,1,4,24,8,,,,,,,
0,note_on,,0,0,8,,,,,,,,7,,,46,92
0,track_name,,0,1,8,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,
0,program_change,,0,0,9,,,,,,,43,8,,,,
0,program_change,,0,0,6,,,,,,,48,5,,,,
0,control_change,,0,0,9,,,,,,,,8,7,127,,
0,midi_port,,0,1,6,,,,,,0,,,,,,
0,note_on,,0,0,5,,,,,,,,4,,,70,108
0,control_change,,0,0,2,,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,,1,10,104,,
0,key_signature,,0,1,2,Bb,,,,,,,,,,,
0,time_signature,,0,1,2,,1,4,24,8,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,program_change,,0,0,3,,,,,,,52,2,,,,
0,control_change,,0,0,3,,,,,,,,2,7,127,,
0,control_change,,0,0,3,,,,,,,,2,10,24,,
0,key_signature,,0,1,3,Bb,,,,,,,,,,,
0,time_signature,,0,1,3,,1,4,24,8,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,
0,program_change,,0,0,4,,,,,,,52,3,,,,
0,control_change,,0,0,4,,,,,,,,3,7,127,,
0,control_change,,0,0,4,,,,,,,,3,10,104,,
0,key_signature,,0,1,4,Bb,,,,,,,,,,,
0,time_signature,,0,1,4,,1,4,24,8,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,
0,program_change,,0,0,5,,,,,,,48,4,,,,
0,control_change,,0,0,5,,,,,,,,4,7,127,,
0,control_change,,0,0,5,,,,,,,,4,10,24,,
0,key_signature,,0,1,5,Bb,,,,,,,,,,,
0,time_signature,,0,1,5,,1,4,24,8,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,52,1,,,,
0,control_change,,0,0,9,,,,,,,,8,10,64,,
0,time_signature,,0,1,9,,1,4,24,8,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,
0,end_of_track,,0,1,13,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,
0,control_change,,0,0,14,,,,,,,,9,7,127,,
0,control_change,,0,0,14,,,,,,,,9,10,64,,
0,track_name,,0,1,14,,,,,,,,,,,,
0,end_of_track,,0,1,14,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,
0,control_change,,0,0,15,,,,,,,,9,7,127,,
0,control_change,,0,0,15,,,,,,,,9,10,64,,
0,track_name,,0,1,15,,,,,,,,,,,,
0,end_of_track,,0,1,15,,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,,0,,,,,,
0,control_change,,0,0,16,,,,,,,,9,7,127,,
0,control_change,,0,0,16,,,,,,,,9,10,64,,
0,track_name,,0,1,16,,,,,,,,,,,,
0,end_of_track,,0,1,16,,,,,,,,,,,,
0,midi_port,,0,1,17,,,,,,0,,,,,,
0,control_change,,0,0,17,,,,,,,,9,7,127,,
0,control_change,,0,0,17,,,,,,,,9,10,64,,
0,track_name,,0,1,17,,,,,,,,,,,,
0,end_of_track,,0,1,17,,,,,,,,,,,,
0,midi_port,,0,1,18,,,,,,0,,,,,,
0,control_change,,0,0,18,,,,,,,,9,7,127,,
0,control_change,,0,0,18,,,,,,,,9,10,64,,
0,control_change,,0,0,13,,,,,,,,9,10,64,,
0,key_signature,,0,1,9,Bb,,,,,,,,,,,
0,control_change,,0,0,13,,,,,,,,9,7,127,,
0,track_name,,0,1,12,,,,,,,,,,,,
0,note_on,,0,0,9,,,,,,,,8,,,34,75
0,track_name,,0,1,9,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,
0,program_change,,0,0,10,,,,,,,68,10,,,,
0,control_change,,0,0,10,,,,,,,,10,7,127,,
0,control_change,,0,0,10,,,,,,,,10,10,24,,
0,key_signature,,0,1,10,Bb,,,,,,,,,,,
0,time_signature,,0,1,10,,1,4,24,8,,,,,,,
0,note_on,,0,0,10,,,,,,,,10,,,70,92
0,track_name,,0,1,10,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,
0,program_change,,0,0,11,,,,,,,68,11,,,,
0,control_change,,0,0,11,,,,,,,,11,7,127,,
0,control_change,,0,0,11,,,,,,,,11,10,104,,
0,key_signature,,0,1,11,Bb,,,,,,,,,,,
0,time_signature,,0,1,11,,1,4,24,8,,,,,,,
0,note_on,,0,0,11,,,,,,,,11,,,70,92
0,track_name,,0,1,11,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,
0,program_change,,0,0,12,,,,,,,70,12,,,,
0,control_change,,0,0,12,,,,,,,,12,7,127,,
0,control_change,,0,0,12,,,,,,,,12,10,96,,
0,key_signature,,0,1,12,Bb,,,,,,,,,,,
0,time_signature,,0,1,12,,1,4,24,8,,,,,,,
0,note_on,,0,0,12,,,,,,,,12,,,46,92
0,midi_port,,0,1,13,,,,,,0,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,
0,end_of_track,,0,1,18,,,,,,,,,,,,
0,key_signature,,0,1,1,Bb,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,0,10,24,,
0,time_signature,,0,1,1,,1,4,24,8,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,
0,key_signature,,0,1,0,Bb,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,52,0,,,,
0,track_name,,0,1,0,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,,
0,time_signature,,0,1,0,,1,4,24,8,,,,,,,
192,time_signature,,192,1,3,,3,4,24,8,,,,,,,
192,time_signature,,192,1,4,,3,4,24,8,,,,,,,
192,time_signature,,0,1,8,,3,4,24,8,,,,,,,
192,time_signature,,192,1,1,,3,4,24,8,,,,,,,
192,note_on,,0,0,11,,,,,,,,11,,,70,92
192,note_on,,0,0,8,,,,,,,,7,,,41,92
192,note_on,,192,0,6,,,,,,,,5,,,62,0
192,time_signature,,0,1,6,,3,4,24,8,,,,,,,
192,time_signature,,0,1,11,,3,4,24,8,,,,,,,
192,note_on,,0,0,12,,,,,,,,12,,,41,92
192,time_signature,,0,1,12,,3,4,24,8,,,,,,,
192,note_on,,192,0,12,,,,,,,,12,,,46,0
192,note_on,,192,0,5,,,,,,,,4,,,70,0
192,time_signature,,0,1,5,,3,4,24,8,,,,,,,
192,note_on,,0,0,5,,,,,,,,4,,,70,108
192,time_signature,,192,1,0,,3,4,24,8,,,,,,,
192,note_on,,0,0,6,,,,,,,,5,,,62,108
192,note_on,,192,0,11,,,,,,,,11,,,70,0
192,note_on,,192,0,8,,,,,,,,7,,,46,0
192,note_on,,192,0,7,,,,,,,,6,,,65,0
192,note_on,,0,0,10,,,,,,,,10,,,70,92
192,time_signature,,0,1,10,,3,4,24,8,,,,,,,
192,note_on,,192,0,10,,,,,,,,10,,,70,0
192,note_on,,192,0,9,,,,,,,,8,,,34,0
192,note_on,,0,0,7,,,,,,,,6,,,65,92
192,time_signature,,0,1,9,,3,4,24,8,,,,,,,
192,note_on,,0,0,9,,,,,,,,8,,,29,75
192,time_signature,,192,1,2,,3,4,24,8,,,,,,,
192,time_signature,,0,1,7,,3,4,24,8,,,,,,,
384,note_on,,192,0,10,,,,,,,,10,,,70,0
384,note_on,,0,0,5,,,,,,,,4,,,69,108
384,note_on,,0,0,10,,,,,,,,10,,,69,92
384,note_on,,192,0,11,,,,,,,,11,,,70,0
384,note_on,,0,0,11,,,,,,,,11,,,69,92
384,note_on,,0,0,6,,,,,,,,5,,,60,108
384,note_on,,192,0,6,,,,,,,,5,,,62,0
384,note_on,,192,0,5,,,,,,,,4,,,70,0
576,note_on,,384,0,12,,,,,,,,12,,,41,0
576,note_on,,0,0,7,,,,,,,,6,,,58,92
576,note_on,,192,0,10,,,,,,,,10,,,69,0
576,note_on,,192,0,11,,,,,,,,11,,,69,0
576,note_on,,0,0,11,,,,,,,,11,,,74,92
576,note_on,,384,0,7,,,,,,,,6,,,65,0
576,note_on,,0,0,10,,,,,,,,10,,,74,92
576,note_on,,0,0,12,,,,,,,,12,,,58,92
576,note_on,,192,0,6,,,,,,,,5,,,60,0
576,note_on,,0,0,5,,,,,,,,4,,,74,108
576,note_on,,0,0,6,,,,,,,,5,,,58,108
576,note_on,,192,0,5,,,,,,,,4,,,69,0
768,note_on,,192,0,10,,,,,,,,10,,,74,0
768,note_on,,192,0,12,,,,,,,,12,,,58,0
768,note_on,,0,0,12,,,,,,,,12,,,58,92
768,note_on,,0,0,6,,,,,,,,5,,,65,108
768,note_on,,192,0,6,,,,,,,,5,,,58,0
768,note_on,,192,0,5,,,,,,,,4,,,74,0
768,note_on,,0,0,10,,,,,,,,10,,,74,92
768,note_on,,192,0,7,,,,,,,,6,,,58,0
768,note_on,,0,0,7,,,,,,,,6,,,58,92
768,note_on,,192,0,11,,,,,,,,11,,,74,0
768,note_on,,0,0,11,,,,,,,,11,,,74,92
768,note_on,,0,0,5,,,,,,,,4,,,74,108
960,note_on,,0,0,12,,,,,,,,12,,,57,92
960,note_on,,192,0,12,,,,,,,,12,,,58,0
960,note_on,,0,0,7,,,,,,,,6,,,57,92
960,note_on,,0,0,11,,,,,,,,11,,,72,92
960,note_on,,192,0,5,,,,,,,,4,,,74,0
960,note_on,,192,0,10,,,,,,,,10,,,74,0
960,note_on,,0,0,10,,,,,,,,10,,,72,92
960,note_on,,192,0,7,,,,,,,,6,,,58,0
960,note_on,,0,0,5,,,,,,,,4,,,72,108
960,note_on,,192,0,11,,,,,,,,11,,,74,0
1152,note_on,,0,0,11,,,,,,,,11,,,70,92
1152,note_on,,192,0,11,,,,,,,,11,,,72,0
1152,note_on,,384,0,6,,,,,,,,5,,,65,0
1152,note_on,,0,0,7,,,,,,,,6,,,62,92
1152,note_on,,192,0,12,,,,,,,,12,,,57,0
1152,note_on,,192,0,7,,,,,,,,6,,,57,0
1152,note_on,,0,0,5,,,,,,,,4,,,70,108
1152,note_on,,192,0,5,,,,,,,,4,,,72,0
1152,note_on,,192,0,10,,,,,,,,10,,,72,0
1152,note_on,,0,0,10,,,,,,,,10,,,70,92
1152,note_on,,0,0,6,,,,,,,,5,,,65,108
1152,note_on,,0,0,12,,,,,,,,12,,,62,92
1344,note_on,,192,0,7,,,,,,,,6,,,62,0
1344,note_on,,0,0,7,,,,,,,,6,,,62,92
1344,note_on,,0,0,12,,,,,,,,12,,,62,92
1344,note_on,,0,0,6,,,,,,,,5,,,65,108
1344,note_on,,192,0,11,,,,,,,,11,,,70,0
1344,note_on,,192,0,12,,,,,,,,12,,,62,0
1344,note_on,,0,0,10,,,,,,,,10,,,70,92
1344,note_on,,192,0,10,,,,,,,,10,,,70,0
1344,note_on,,192,0,5,,,,,,,,4,,,70,0
1344,note_on,,0,0,5,,,,,,,,4,,,70,108
1344,note_on,,192,0,6,,,,,,,,5,,,65,0
1344,note_on,,0,0,11,,,,,,,,11,,,70,92
1536,note_on,,0,0,5,,,,,,,,4,,,69,108
1536,note_on,,192,0,5,,,,,,,,4,,,70,0
1536,note_on,,0,0,7,,,,,,,,6,,,60,92
1536,note_on,,192,0,7,,,,,,,,6,,,62,0
1536,note_on,,0,0,11,,,,,,,,11,,,69,92
1536,note_on,,192,0,10,,,,,,,,10,,,70,0
1536,note_on,,0,0,12,,,,,,,,12,,,60,92
1536,note_on,,192,0,12,,,,,,,,12,,,62,0
1536,note_on,,0,0,6,,,,,,,,5,,,63,108
1536,note_on,,192,0,6,,,,,,,,5,,,65,0
1536,note_on,,192,0,11,,,,,,,,11,,,70,0
1536,note_on,,0,0,10,,,,,,,,10,,,69,92
1728,note_on,,192,0,5,,,,,,,,4,,,69,0
1728,note_on,,0,0,5,,,,,,,,4,,,74,108
1728,note_on,,192,0,12,,,,,,,,12,,,60,0
1728,note_on,,0,0,6,,,,,,,,5,,,62,108
1728,note_on,,0,0,7,,,,,,,,6,,,58,92
1728,note_on,,192,0,7,,,,,,,,6,,,60,0
1728,note_on,,192,0,11,,,,,,,,11,,,69,0
1728,note_on,,0,0,11,,,,,,,,11,,,74,92
1728,note_on,,192,0,10,,,,,,,,10,,,69,0
1728,note_on,,192,0,6,,,,,,,,5,,,63,0
1728,note_on,,0,0,10,,,,,,,,10,,,74,92
1728,note_on,,0,0,12,,,,,,,,12,,,58,92
1920,note_on,,0,0,5,,,,,,,,4,,,74,108
1920,note_on,,0,0,10,,,,,,,,10,,,74,92
1920,note_on,,192,0,10,,,,,,,,10,,,74,0
1920,note_on,,0,0,12,,,,,,,,12,,,65,92
1920,note_on,,192,0,12,,,,,,,,12,,,58,0
1920,note_on,,0,0,11,,,,,,,,11,,,70,92
1920,note_on,,192,0,11,,,,,,,,11,,,74,0
1920,note_on,,192,0,5,,,,,,,,4,,,74,0
1920,note_on,,0,0,7,,,,,,,,6,,,70,92
1920,note_on,,0,0,6,,,,,,,,5,,,70,108
1920,note_on,,192,0,6,,,,,,,,5,,,62,0
1920,note_on,,192,0,7,,,,,,,,6,,,58,0
2112,note_on,,0,0,10,,,,,,,,10,,,72,92
2112,note_on,,192,0,7,,,,,,,,6,,,70,0
2112,note_on,,192,0,10,,,,,,,,10,,,74,0
2112,note_on,,192,0,5,,,,,,,,4,,,74,0
2112,note_on,,0,0,5,,,,,,,,4,,,72,108
2112,note_on,,0,0,7,,,,,,,,6,,,69,92
2112,note_on,,192,0,6,,,,,,,,5,,,70,0
2112,note_on,,0,0,6,,,,,,,,5,,,69,108
2112,note_on,,0,0,11,,,,,,,,11,,,69,92
2112,note_on,,192,0,11,,,,,,,,11,,,70,0
2304,note_on,,192,0,6,,,,,,,,5,,,69,0
2304,note_on,,384,0,12,,,,,,,,12,,,65,0
2304,note_on,,0,0,12,,,,,,,,12,,,63,92
2304,note_on,,192,0,10,,,,,,,,10,,,72,0
2304,note_on,,192,0,11,,,,,,,,11,,,69,0
2304,note_on,,192,0,5,,,,,,,,4,,,72,0
2304,note_on,,0,0,7,,,,,,,,6,,,63,92
2304,note_on,,192,0,7,,,,,,,,6,,,69,0
2496,note_on,,192,0,10,,,,,,,,10,,,77,92
2496,note_on,,0,0,7,,,,,,,,6,,,62,92
2496,note_on,,192,0,7,,,,,,,,6,,,63,0
2496,note_on,,192,0,11,,,,,,,,11,,,77,92
2496,note_on,,192,0,12,,,,,,,,12,,,63,0
2496,note_on,,192,0,6,,,,,,,,5,,,74,108
2496,note_on,,0,0,12,,,,,,,,12,,,62,92
2496,note_on,,192,0,5,,,,,,,,4,,,77,108
2688,note_on,,192,0,6,,,,,,,,5,,,74,0
2688,note_on,,0,0,11,,,,,,,,11,,,65,92
2688,note_on,,192,0,10,,,,,,,,10,,,77,0
2688,note_on,,0,0,5,,,,,,,,4,,,65,108
2688,note_on,,192,0,5,,,,,,,,4,,,77,0
2688,note_on,,192,0,11,,,,,,,,11,,,77,0
2688,note_on,,0,0,10,,,,,,,,10,,,65,92
2688,note_on,,0,0,6,,,,,,,,5,,,62,108
2880,note_on,,0,0,7,,,,,,,,6,,,60,92
2880,note_on,,0,0,9,,,,,,,,8,,,41,75
2880,note_on,,2688,0,9,,,,,,,,8,,,29,0
2880,note_on,,384,0,7,,,,,,,,6,,,62,0
2880,note_on,,0,0,12,,,,,,,,12,,,60,92
2880,note_on,,384,0,12,,,,,,,,12,,,62,0
2880,note_on,,2688,0,8,,,,,,,,7,,,41,0
2880,note_on,,0,0,8,,,,,,,,7,,,53,92
2976,note_on,,288,0,10,,,,,,,,10,,,65,0
2976,note_on,,288,0,11,,,,,,,,11,,,65,0
2976,note_on,,288,0,6,,,,,,,,5,,,62,0
2976,note_on,,288,0,5,,,,,,,,4,,,65,0
3024,note_on,,48,0,10,,,,,,,,10,,,75,92
3024,note_on,,48,0,11,,,,,,,,11,,,75,92
3024,note_on,,48,0,6,,,,,,,,5,,,69,108
3024,note_on,,48,0,5,,,,,,,,4,,,75,108
3072,note_on,,48,0,10,,,,,,,,10,,,75,0
3072,note_on,,0,0,5,,,,,,,,4,,,74,108
