tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,key,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 4, 35, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,15,,,59,48
0,control_change,,0,0,11,,,,,,,,,,,,,,,15,10,90,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,15,11,127,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,15,7,96,,
0,program_change,,0,0,11,,,,,,,,,,,,,,6,15,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,48,13,,,,
0,program_change,,0,0,6,,,,,,,,,,,,,,60,8,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,8,10,80,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,8,11,127,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,13,7,96,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,13,11,127,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,15,,,66,48
0,control_change,,0,0,10,,,,,,,,,,,,,,,13,10,96,,
0,note_on,,0,0,7,,,,,,,,,,,,,,,10,,,59,48
0,control_change,,0,0,7,,,,,,,,,,,,,,,10,11,127,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,9,,,,,,,,,,,,,,48,12,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,12,7,96,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,12,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,12,10,80,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,12,,,59,48
0,control_change,,0,0,8,,,,,,,,,,,,,,,11,10,24,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,11,11,127,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,11,7,96,,
0,program_change,,0,0,8,,,,,,,,,,,,,,48,11,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,7,,,,,,,,,,,,,,48,10,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,10,7,96,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,10,10,48,,
