tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,7,127,1,,,
0,control_change,0,0,2,,,,,,,10,54,1,,,
0,control_change,0,0,2,,,,,,,91,50,1,,,
0,control_change,0,0,2,,,,,,,93,0,1,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,93,0,0,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,10,73,0,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,91,50,0,,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1090909,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,
0,time_signature,0,1,0,1,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
1,program_change,1,0,2,,,,,,,,,1,0,,
1,program_change,1,0,1,,,,,,,,,0,0,,
120,note_on,119,0,2,,,,,,,,,1,,57,85
239,text,119,1,2,,,,,,,,,,,,
240,note_on,1,0,2,,,,,,,,,1,,57,0
240,note_on,0,0,2,,,,,,,,,1,,57,85
240,text,0,1,2,,,,,,,,,,,,
299,note_on,59,0,2,,,,,,,,,1,,57,0
300,note_on,1,0,2,,,,,,,,,1,,56,85
329,note_on,29,0,2,,,,,,,,,1,,56,0
330,note_on,1,0,2,,,,,,,,,1,,57,85
359,note_on,29,0,2,,,,,,,,,1,,57,0
360,note_on,1,0,2,,,,,,,,,1,,56,85
419,note_on,59,0,2,,,,,,,,,1,,56,0
420,note_on,1,0,2,,,,,,,,,1,,54,85
480,time_signature,480,1,0,4,4,24,8,,,,,,,,
480,note_on,60,0,2,,,,,,,,,1,,54,0
480,note_on,0,0,2,,,,,,,,,1,,52,85
600,note_on,599,0,1,,,,,,,,,0,,64,85
720,note_on,240,0,2,,,,,,,,,1,,52,0
720,note_on,0,0,2,,,,,,,,,1,,50,85
720,note_on,120,0,1,,,,,,,,,0,,64,0
720,text,0,1,1,,,,,,,,,,,,
720,note_on,0,0,1,,,,,,,,,0,,66,100
749,note_on,29,0,1,,,,,,,,,0,,66,0
750,note_on,1,0,1,,,,,,,,,0,,64,100
779,note_on,29,0,1,,,,,,,,,0,,64,0
780,note_on,1,0,1,,,,,,,,,0,,66,100
899,note_on,119,0,1,,,,,,,,,0,,66,0
900,note_on,1,0,1,,,,,,,,,0,,68,85
960,note_on,0,0,1,,,,,,,,,0,,69,85
960,note_on,0,0,2,,,,,,,,,1,,49,85
960,note_on,240,0,2,,,,,,,,,1,,50,0
960,note_on,60,0,1,,,,,,,,,0,,68,0
1080,note_on,120,0,2,,,,,,,,,1,,52,85
1200,note_on,0,0,2,,,,,,,,,1,,47,85
1200,note_on,0,0,2,,,,,,,,,1,,49,0
1200,note_on,0,0,2,,,,,,,,,1,,54,85
1200,note_on,240,0,1,,,,,,,,,0,,69,0
1200,note_on,120,0,2,,,,,,,,,1,,52,0
1200,note_on,0,0,1,,,,,,,,,0,,74,85
1320,note_on,120,0,2,,,,,,,,,1,,54,0
1320,note_on,0,0,2,,,,,,,,,1,,56,85
1440,note_on,0,0,1,,,,,,,,,0,,73,85
1440,note_on,240,0,1,,,,,,,,,0,,74,0
1440,note_on,0,0,2,,,,,,,,,1,,45,85
1440,note_on,0,0,2,,,,,,,,,1,,57,85
1440,note_on,0,0,2,,,,,,,,,1,,47,0
1440,note_on,120,0,2,,,,,,,,,1,,56,0
1560,note_on,120,0,1,,,,,,,,,0,,81,85
1679,text,119,1,1,,,,,,,,,,,,
1680,note_on,1,0,1,,,,,,,,,0,,81,0
1680,text,0,1,1,,,,,,,,,,,,
1680,note_on,0,0,1,,,,,,,,,0,,81,100
1680,note_on,0,0,2,,,,,,,,,1,,59,85
1680,note_on,240,0,2,,,,,,,,,1,,57,0
1709,note_on,29,0,1,,,,,,,,,0,,81,0
1710,note_on,1,0,1,,,,,,,,,0,,80,100
1739,note_on,29,0,1,,,,,,,,,0,,80,0
1740,note_on,1,0,1,,,,,,,,,0,,81,100
1769,note_on,29,0,1,,,,,,,,,0,,81,0
1770,note_on,1,0,1,,,,,,,,,0,,80,100
1799,note_on,29,0,1,,,,,,,,,0,,80,0
1800,note_on,1,0,1,,,,,,,,,0,,78,100
1920,note_on,0,0,2,,,,,,,,,1,,61,85
1920,note_on,0,0,2,,,,,,,,,1,,45,0
1920,note_on,240,0,2,,,,,,,,,1,,59,0
1920,note_on,0,0,1,,,,,,,,,0,,73,0
1920,note_on,0,0,1,,,,,,,,,0,,76,85
1920,note_on,120,0,1,,,,,,,,,0,,78,0
2040,note_on,120,0,1,,,,,,,,,0,,64,85
2160,note_on,120,0,1,,,,,,,,,0,,64,0
2160,note_on,0,0,1,,,,,,,,,0,,76,0
2160,note_on,0,0,1,,,,,,,,,0,,74,85
2160,note_on,0,0,1,,,,,,,,,0,,66,85
2160,note_on,240,0,2,,,,,,,,,1,,61,0
2160,note_on,0,0,2,,,,,,,,,1,,62,85
2280,note_on,120,0,1,,,,,,,,,0,,66,0
2280,note_on,0,0,1,,,,,,,,,0,,68,85
2280,note_on,0,0,2,,,,,,,,,1,,64,85
2280,note_on,120,0,2,,,,,,,,,1,,62,0
2400,note_on,0,0,1,,,,,,,,,0,,73,85
2400,note_on,120,0,1,,,,,,,,,0,,68,0
2400,note_on,0,0,1,,,,,,,,,0,,74,0
2400,note_on,0,0,2,,,,,,,,,1,,57,85
2400,note_on,120,0,2,,,,,,,,,1,,64,0
2520,note_on,120,0,1,,,,,,,,,0,,64,85
2580,note_on,60,0,1,,,,,,,,,0,,73,0
2640,note_on,240,0,2,,,,,,,,,1,,57,0
2640,note_on,0,0,2,,,,,,,,,1,,56,85
2640,note_on,60,0,1,,,,,,,,,0,,73,85
2760,note_on,0,0,1,,,,,,,,,0,,64,85
2760,note_on,0,0,1,,,,,,,,,0,,71,85
2760,note_on,0,0,1,,,,,,,,,0,,71,85
2760,note_on,120,0,1,,,,,,,,,0,,73,0
2760,note_on,0,0,1,,,,,,,,,0,,64,0
2879,text,119,1,1,,,,,,,,,,,,
2880,note_on,240,0,2,,,,,,,,,1,,56,0
2880,text,0,1,1,,,,,,,,,,,,
2880,note_on,1,0,1,,,,,,,,,0,,71,0
2880,note_on,0,0,2,,,,,,,,,1,,54,85
2880,note_on,0,0,1,,,,,,,,,0,,71,0
2880,note_on,0,0,1,,,,,,,,,0,,71,85
2939,note_on,59,0,1,,,,,,,,,0,,71,0
2940,note_on,1,0,1,,,,,,,,,0,,69,85
2969,note_on,29,0,1,,,,,,,,,0,,69,0
2970,note_on,1,0,1,,,,,,,,,0,,71,85
2999,note_on,29,0,1,,,,,,,,,0,,71,0
