tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,key,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 4, 35, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,74,64
0,program_change,,0,0,8,,,,,,,,,,,,,,73,6,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,6,10,96,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,6,11,127,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,7,,,,,,,,,,,,,,73,5,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,5,10,32,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,5,11,127,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,13,,,,,,,,,,,,,,,11,,,81,64
0,program_change,,0,0,13,,,,,,,,,,,,,,48,11,,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,11,7,96,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,11,10,24,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,11,11,127,,
0,program_change,,0,0,6,,,,,,,,,,,,,,70,1,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,10,65,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,7,72,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,1,,,50,64
0,note_on,,0,0,12,,,,,,,,,,,,,,,10,,,81,64
0,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,69,64
0,program_change,,0,0,12,,,,,,,,,,,,,,48,10,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,10,10,48,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,10,11,127,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,10,7,96,,
0,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,66,64
0,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,50,64
0,program_change,,0,0,16,,,,,,,,,,,,,,6,15,,,,
0,control_change,,0,0,15,,,,,,,,,,,,,,,13,10,96,,
0,control_change,,0,0,15,,,,,,,,,,,,,,,13,11,127,,
0,midi_port,,0,1,15,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,14,,,,,,,,,,,,,,48,12,,,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,12,7,96,,
0,control_change,,0,0,15,,,,,,,,,,,,,,,13,7,96,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,12,10,80,,
0,midi_port,,0,1,14,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,11,,,,,,,,,,,,,,73,14,,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,14,7,96,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,14,10,70,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,14,11,127,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,12,11,127,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,15,,,,,,,,,,,,,,48,13,,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,60,8,,,,
0,control_change,,0,0,16,,,,,,,,,,,,,,,15,7,96,,
0,control_change,,0,0,16,,,,,,,,,,,,,,,15,10,64,,
0,control_change,,0,0,16,,,,,,,,,,,,,,,15,11,127,,
0,midi_port,,0,1,16,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,15,,,,,,,,,,,,,,,13,,,50,64
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,7,10,48,,
0,program_change,,0,0,9,,,,,,,,,,,,,,70,7,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,8,11,127,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,8,10,80,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,7,11,127,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,,7,8,12,8,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,D,,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,,600000,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,68,0,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,10,70,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,7,72,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
59,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,74,0
59,note_on,,59,0,16,,,,,,,,,,,,,,,15,,,50,0
59,note_on,,59,0,15,,,,,,,,,,,,,,,13,,,50,0
59,note_on,,59,0,13,,,,,,,,,,,,,,,11,,,81,0
59,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,69,0
59,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,66,0
59,note_on,,59,0,12,,,,,,,,,,,,,,,10,,,81,0
59,note_on,,59,0,6,,,,,,,,,,,,,,,1,,,50,0
60,note_on,,1,0,6,,,,,,,,,,,,,,,1,,,54,64
60,note_on,,1,0,12,,,,,,,,,,,,,,,10,,,74,64
60,note_on,,1,0,15,,,,,,,,,,,,,,,13,,,54,64
60,note_on,,1,0,16,,,,,,,,,,,,,,,15,,,62,64
60,note_on,,0,0,16,,,,,,,,,,,,,,,15,,,69,64
60,note_on,,1,0,13,,,,,,,,,,,,,,,11,,,74,64
