tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,8,,,7,100,0,,,
0,program_change,,,,,0,0,8,,,,,0,40,,
0,control_change,,,,,0,0,8,,,0,0,0,,,
0,track_name,,,,,0,1,8,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,
0,control_change,,,,,0,0,7,,,91,65,0,,,
0,control_change,,,,,0,0,7,,,10,53,0,,,
0,control_change,,,,,0,0,7,,,7,100,0,,,
0,program_change,,,,,0,0,7,,,,,0,40,,
0,control_change,,,,,0,0,7,,,0,0,0,,,
0,track_name,,,,,0,1,7,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,
0,control_change,,,,,0,0,6,,,91,65,0,,,
0,control_change,,,,,0,0,6,,,10,53,0,,,
0,control_change,,,,,0,0,8,,,10,53,0,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,
0,control_change,,,,,0,0,6,,,0,0,0,,,
0,track_name,,,,,0,1,6,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,
0,control_change,,,,,0,0,5,,,91,65,0,,,
0,control_change,,,,,0,0,5,,,10,53,0,,,
0,control_change,,,,,0,0,5,,,7,100,0,,,
0,program_change,,,,,0,0,5,,,,,0,40,,
0,control_change,,,,,0,0,5,,,0,0,0,,,
0,track_name,,,,,0,1,5,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,4,,,91,65,0,,,
0,control_change,,,,,0,0,4,,,10,53,0,,,
0,control_change,,,,,0,0,4,,,7,100,0,,,
0,program_change,,,,,0,0,4,,,,,0,40,,
0,program_change,,,,,0,0,6,,,,,0,40,,
0,control_change,,,,,0,0,4,,,0,0,0,,,
0,control_change,,,,,0,0,8,,,91,65,0,,,
0,control_change,,,,,0,0,14,,,7,55,5,,,
0,program_change,,,,,0,0,10,,,,,2,48,,
0,control_change,,,,,0,0,10,,,7,95,2,,,
0,control_change,,,,,0,0,10,,,91,64,2,,,
0,track_name,,,,,0,1,11,,,,,,,,
0,control_change,,,,,0,0,11,,,0,0,3,,,
