tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,7,127,4,,,
0,control_change,0,0,5,,,,,,,,10,63,4,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,7,127,5,,,
0,control_change,0,0,6,,,,,,,,10,63,5,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,7,127,6,,,
0,control_change,0,0,7,,,,,,,,10,63,6,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,7,127,7,,,
0,control_change,0,0,4,,,,,,,,10,63,3,,,
0,control_change,0,0,4,,,,,,,,7,127,3,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,0,0,0,,,
0,control_change,0,0,1,,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,,10,58,0,,,
0,program_change,0,0,1,,,,,,,,,,0,73,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,,32,0,1,,,
0,control_change,0,0,8,,,,,,,,10,63,7,,,
0,program_change,0,0,2,,,,,,,,,,1,68,,
0,control_change,0,0,2,,,,,,,,10,68,1,,,
0,control_change,0,0,17,,,,,,,,95,127,0,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,0,2,,,
0,control_change,0,0,3,,,,,,,,32,0,2,,,
0,program_change,0,0,3,,,,,,,,,,2,70,,
0,control_change,0,0,3,,,,,,,,7,127,2,,,
0,control_change,0,0,3,,,,,,,,10,49,2,,,
0,control_change,0,0,2,,,,,,,,7,127,1,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,control_change,0,0,9,,,,,,,,7,127,8,,,
0,control_change,0,0,15,,,,,,,,10,63,14,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,control_change,0,0,16,,,,,,,,7,127,15,,,
0,control_change,0,0,16,,,,,,,,10,63,15,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,midi_port,0,1,17,,,,,,,0,,,,,,
0,control_change,0,0,17,,,,,,,,40,103,5,,,
0,control_change,0,0,17,,,,,,,,40,103,4,,,
0,control_change,0,0,15,,,,,,,,7,127,14,,,
0,control_change,0,0,17,,,,,,,,40,103,3,,,
