tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,47,15,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,6,10,77,,,
0,program_change,0,0,7,,,,,,,56,6,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,5,10,28,,,
0,program_change,0,0,6,,,,,,,60,5,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,10,24,,,
0,program_change,0,0,5,,,,,,,60,4,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,3,10,80,,,
0,program_change,0,0,4,,,,,,,70,3,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,10,65,,,
0,program_change,0,0,3,,,,,,,71,2,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,1,10,72,,,
0,program_change,0,0,2,,,,,,,68,1,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,52,,,
0,control_change,0,0,8,,,,,,,,15,10,97,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,48,10,,,,,
0,control_change,0,0,9,,,,,,,,10,10,18,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,14,10,127,,,
0,program_change,0,0,13,,,,,,,48,14,,,,,
0,program_change,0,0,1,,,,,,,73,0,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,48,13,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,12,10,40,,,
0,program_change,0,0,11,,,,,,,48,12,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,11,10,90,,,
0,program_change,0,0,10,,,,,,,48,11,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,10,121,0,,,
0,control_change,0,0,12,,,,,,,,13,10,100,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,Eb,,,,,,,,
0,set_tempo,0,1,0,,,,,,794701,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
2,control_change,2,0,1,,,,,,,,0,121,0,,,
3,control_change,3,0,10,,,,,,,,11,121,0,,,
4,control_change,4,0,5,,,,,,,,4,121,0,,,
4,control_change,4,0,2,,,,,,,,1,121,0,,,
5,control_change,5,0,3,,,,,,,,2,121,0,,,
5,program_change,5,0,9,,,,,,,48,10,,,,,
5,control_change,5,0,7,,,,,,,,6,121,0,,,
7,control_change,7,0,11,,,,,,,,12,121,0,,,
7,program_change,5,0,1,,,,,,,73,0,,,,,
8,program_change,5,0,10,,,,,,,48,11,,,,,
8,control_change,8,0,6,,,,,,,,5,121,0,,,
9,program_change,5,0,2,,,,,,,68,1,,,,,
9,program_change,5,0,5,,,,,,,60,4,,,,,
10,control_change,10,0,12,,,,,,,,13,121,0,,,
10,program_change,5,0,7,,,,,,,56,6,,,,,
10,pitchwheel,5,0,9,,,,,,,,10,,,300,,
10,program_change,5,0,3,,,,,,,71,2,,,,,
11,control_change,11,0,4,,,,,,,,3,121,0,,,
12,pitchwheel,5,0,1,,,,,,,,0,,,0,,
12,program_change,5,0,11,,,,,,,48,12,,,,,
13,program_change,5,0,6,,,,,,,60,5,,,,,
13,pitchwheel,5,0,10,,,,,,,,11,,,-300,,
14,pitchwheel,5,0,2,,,,,,,,1,,,0,,
14,pitchwheel,5,0,5,,,,,,,,4,,,100,,
15,control_change,15,0,8,,,,,,,,15,121,0,,,
15,pitchwheel,5,0,7,,,,,,,,6,,,0,,
15,control_change,5,0,9,,,,,,,,10,10,18,,,
15,pitchwheel,5,0,3,,,,,,,,2,,,0,,
15,program_change,5,0,12,,,,,,,48,13,,,,,
16,program_change,5,0,4,,,,,,,70,3,,,,,
16,control_change,16,0,13,,,,,,,,14,121,0,,,
17,control_change,5,0,1,,,,,,,,0,10,52,,,
17,pitchwheel,5,0,11,,,,,,,,12,,,300,,
18,control_change,5,0,10,,,,,,,,11,10,90,,,
18,pitchwheel,5,0,6,,,,,,,,5,,,-100,,
19,control_change,5,0,2,,,,,,,,1,10,72,,,
19,control_change,5,0,5,,,,,,,,4,10,24,,,
20,pitchwheel,5,0,12,,,,,,,,13,,,-300,,
20,control_change,5,0,9,,,,,,,,10,11,114,,,
20,control_change,5,0,7,,,,,,,,6,10,77,,,
20,control_change,5,0,3,,,,,,,,2,10,65,,,
20,program_change,5,0,8,,,,,,,47,15,,,,,
21,pitchwheel,5,0,4,,,,,,,,3,,,0,,
21,program_change,5,0,13,,,,,,,48,14,,,,,
22,control_change,5,0,1,,,,,,,,0,11,114,,,
22,control_change,5,0,11,,,,,,,,12,10,40,,,
23,control_change,5,0,10,,,,,,,,11,11,114,,,
23,control_change,5,0,6,,,,,,,,5,10,28,,,
24,control_change,5,0,5,,,,,,,,4,11,93,,,
24,control_change,5,0,2,,,,,,,,1,11,114,,,
25,control_change,5,0,12,,,,,,,,13,10,100,,,
25,pitchwheel,5,0,8,,,,,,,,15,,,0,,
25,control_change,5,0,9,,,,,,,,10,7,127,,,
25,control_change,5,0,7,,,,,,,,6,11,93,,,
25,control_change,5,0,3,,,,,,,,2,11,114,,,
26,control_change,5,0,4,,,,,,,,3,10,80,,,
