tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,48,10,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,5,10,28,,,
0,program_change,0,0,6,,,,,,,60,5,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,10,24,,,
0,program_change,0,0,5,,,,,,,60,4,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,3,10,80,,,
0,program_change,0,0,4,,,,,,,70,3,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,10,65,,,
0,program_change,0,0,3,,,,,,,71,2,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,1,10,72,,,
0,program_change,0,0,2,,,,,,,68,1,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,121,0,,,
0,control_change,0,0,1,,,,,,,,0,10,52,,,
0,control_change,0,0,7,,,,,,,,10,10,18,,,
0,program_change,0,0,1,,,,,,,73,0,,,,,
0,control_change,0,0,7,,,,,,,,10,121,0,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,14,10,127,,,
0,program_change,0,0,11,,,,,,,48,14,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,13,10,100,,,
0,program_change,0,0,10,,,,,,,48,13,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,12,10,40,,,
0,program_change,0,0,9,,,,,,,48,12,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,11,10,90,,,
0,program_change,0,0,8,,,,,,,48,11,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
1,control_change,1,0,8,,,,,,,,11,121,0,,,
1,control_change,1,0,5,,,,,,,,4,121,0,,,
2,control_change,2,0,9,,,,,,,,12,121,0,,,
2,control_change,2,0,2,,,,,,,,1,121,0,,,
4,control_change,4,0,3,,,,,,,,2,121,0,,,
5,control_change,5,0,6,,,,,,,,5,121,0,,,
5,control_change,5,0,10,,,,,,,,13,121,0,,,
5,program_change,5,0,1,,,,,,,73,0,,,,,
5,program_change,5,0,7,,,,,,,48,10,,,,,
6,program_change,5,0,5,,,,,,,60,4,,,,,
6,program_change,5,0,8,,,,,,,50,11,,,,,
7,program_change,5,0,9,,,,,,,48,12,,,,,
7,program_change,5,0,2,,,,,,,68,1,,,,,
7,control_change,7,0,4,,,,,,,,3,121,0,,,
9,control_change,9,0,11,,,,,,,,14,121,0,,,
9,program_change,5,0,3,,,,,,,71,2,,,,,
10,program_change,5,0,6,,,,,,,60,5,,,,,
10,pitchwheel,5,0,1,,,,,,,,0,,,0,,
10,pitchwheel,5,0,7,,,,,,,,10,,,300,,
10,program_change,5,0,10,,,,,,,48,13,,,,,
11,pitchwheel,5,0,5,,,,,,,,4,,,100,,
11,pitchwheel,5,0,8,,,,,,,,11,,,-300,,
